arnumber,customertype,industrygroup,isterminated,customername,supportmodel,liveyear,livequarter,livemonth,vertical
AAK1000,Customer - Mid-Market,Manufacturing,0,AAK USA Inc.,CAST 2.0,2018,Qtr 1,January,MFG
AAS1000,Customer - Strategic,Technology and Professional Services,0,AAS Services LLC,CAST 1.0,2019,Qtr 4,December,S&D - FIN
ABC5000,Customer - Enterprise,Manufacturing,0,ABC Technologies Inc.,CAST Canada,2021,Qtr 1,January,MFG
ABE1002,Customer - Enterprise,Agriculture and Natural Resources,0,Abel Mendoza Inc.,CAST 1.0,2018,Qtr 2,April,MFG
ABE5000,Customer - Mid-Market,Business Services,0,Abell Pest Control,CAST Canada,2019,Qtr 2,June,S&D
ABS5000,Customer - Mid-Market,Technology and Professional Services,0,Absolute Software Corporation,CAST Canada,2018,Qtr 1,January,S&D
ACC1011,Customer - Enterprise,Business Services,0,R1 RCM Inc.,Global,2018,Qtr 1,January,S&D
ACC1012,Customer - Mid-Market,Technology and Professional Services,0,"Accruent, LLC",CAST 2.0,2018,Qtr 1,January,S&D
ACC1013,Customer - Strategic,Technology and Professional Services,0,"Accufleet International, Inc.",CAST 1.0,2018,Qtr 1,January,S&D
ACC1016,Customer - Enterprise,Technology and Professional Services,0,"Access Information Management Shared Services, LLC",CAST 2.0,2020,Qtr 1,January,S&D
ACC1018,Customer - Strategic,,0,Accumen Inc.,CAST 1.0,2020,Qtr 3,September,HEALTHCARE
ACC5000,Customer - Mid-Market,Finance and Insurance,0,Accord Financial Corp.,CAST Canada,2020,Qtr 2,June,S&D
ACC5001,Customer - Strategic,Technology and Professional Services,0,Accedian Networks Inc.,CAST Canada,2020,Qtr 3,September,S&D
ACE1005,Customer - Enterprise,Retail,0,"Ace Parking Management, Inc.",CAST 2.0,2018,Qtr 2,April,S&D
ACE1006,Customer - Strategic,Business Services,0,Acero Precision,CAST 1.0,2019,Qtr 1,January,MFG
ACE1007,Customer - Strategic,Education,0,"Aceable, Inc.",CAST 1.0,2020,Qtr 1,January,PUBLIC SECTOR - K12
ACE1008,Customer - Mid-Market,Transportation and Warehousing,0,Acertus,CAST 2.0,2021,Qtr 3,August,S&D
ACH1001,Customer - Strategic,Healthcare,0,ACH Child and Family Services,CAST 1.0,2019,Qtr 3,July,HEALTHCARE
ACM1002,Customer - Strategic,Manufacturing,0,Acme Manufacturing Co. Inc.,CAST 1.0,2019,Qtr 4,October,MFG
ACQ1001,Customer - Enterprise,Finance and Insurance,0,"Acquiom Employee Solutions, Inc.",CAST 1.0,2019,Qtr 2,April,S&D
ACT1002,Customer - Mid-Market,Business Services,0,"ACTS Aviation Security, Inc.",UMS,2018,Qtr 1,January,S&D
ACT1004,Customer - Strategic,Technology and Professional Services,0,"Activehours, Inc. dba Earnin",CAST 1.0,2020,Qtr 1,January,S&D
ACU1004,Customer - Enterprise,Finance and Insurance,0,"Acuren Inspection, Inc.",CAST 2.0,2018,Qtr 4,December,MFG
ACV1000,Customer - Strategic,Business Services,0,"ACV Auctions, Inc",CAST 2.0,2019,Qtr 1,March,S&D
ADA1005,Customer - Mid-Market,"Non-Profits, Membership, and Human Services",0,"Ada S. McKinley Community Services, Inc.",CAST 2.0,2020,Qtr 1,March,PUBLIC SECTOR - K12
ADS1001,Customer - Strategic,Technology and Professional Services,0,"Adswerve, Inc.",CAST 1.0,2020,Qtr 1,March,S&D
ADV1018,Customer - Enterprise,Business Services,0,"Advanced Technology Services, Inc.",CAST 2.0,2019,Qtr 1,January,S&D
ADV1019,Customer - Strategic,Technology and Professional Services,0,"Adviser Compliance Associates, LLC",CAST 2.0,2018,Qtr 4,October,S&D
ADV1020,Customer - Strategic,Healthcare,0,"Advanced ICU Care, Inc.",CAST 1.0,2018,Qtr 4,December,HEALTHCARE
ADV1021,Customer - Strategic,Business Services,0,"Advanced Dermatology Management, Inc.",CAST 1.0,2018,Qtr 4,December,S&D
ADV1022,Customer - Strategic,Wholesale Trade,0,Advanced Ceramic Coatings,CAST 1.0,2019,Qtr 1,January,MFG
ADV1023,Customer - Strategic,Technology and Professional Services,0,"Advarra, Inc.",CAST 1.0,2019,Qtr 4,October,S&D
ADV1024,Customer - Strategic,Technology and Professional Services,0,Advanced Group,CAST 2.0,2020,Qtr 1,January,S&D
ADV1025,Customer - Strategic,Healthcare,0,"Advocate RCM Holding Company, LLC",CAST 1.0,2021,Qtr 1,March,HEALTHCARE
AEG1002,Customer - Strategic,Utilities and Mining,0,"Aegis Chemical Solutions, LLC",CAST 1.0,2020,Qtr 2,April,MFG - ENERGY
AEM1000,Customer - Strategic,Transportation and Warehousing,1,"AEM, Inc.",CAST 1.0,2019,Qtr 2,May,S&D
AER1002,Customer - Strategic,Technology and Professional Services,0,Aero Fulfillment Services Corporation,CAST 1.0,2018,Qtr 4,October,S&D
AFF1004,Customer - Enterprise,Business Services,0,"Affordable Care, LLC",CAST 2.0,2018,Qtr 1,January,HEALTHCARE
AFF1005,Customer - Strategic,Finance and Insurance,0,"Affirm, Inc.",CAST 1.0,2018,Qtr 3,July,S&D - FIN
AFF1006,Customer - Strategic,Technology and Professional Services,0,Affinity Group Paramount,CAST 1.0,2020,Qtr 2,May,S&D
AFF5000,Customer - Strategic,,0,Affinity Staffing Inc.,CAST Canada,2020,Qtr 3,August,S&D
AFR1000,Customer - Strategic,"Non-Profits, Membership, and Human Services",0,African Wildlife Foundation,CAST 1.0,2020,Qtr 4,November,S&D
AGI5000,Customer - Strategic,Technology and Professional Services,0,AgileBits Inc.,CAST Canada,2020,Qtr 3,September,S&D
AGR1003,Customer - Mid-Market,Wholesale Trade,0,"AgReliant Genetics, LLC",CAST 2.0,2019,Qtr 4,December,S&D
AGR1004,Customer - Mid-Market,Agriculture and Natural Resources,0,"AgriVision Farm Management, LLC",CAST 1.0,2020,Qtr 1,February,S&D
AGR5000,Customer - Mid-Market,Finance and Insurance,0,Agricorp,CAST Canada,2018,Qtr 4,November,S&D - FIN
AGR5001,Customer - Strategic,Manufacturing,0,Agri-Marche Inc.,CAST Canada,2020,Qtr 1,March,MFG
AHB5000,Customer - Mid-Market,Technology and Professional Services,1,AHBL Management Limited Partnership,CAST Canada,2018,Qtr 2,May,S&D
AHE1000,Customer - Strategic,Technology and Professional Services,0,"AHEAD, LLC",CAST 2.0,2020,Qtr 1,January,S&D
AHE1001,Customer - Strategic,Real Estate,0,AHEPA Management Company,CAST 1.0,2021,Qtr 2,May,S&D
AHF1000,Customer - Enterprise,Retail,0,AHF Products,UMS,2019,Qtr 4,December,MFG
AHM1000,Customer - Enterprise,Healthcare,0,AHMC Healthcare Inc.,Global,2018,Qtr 4,October,HEALTHCARE
AHS1000,Customer - Strategic,Real Estate,0,"AHS Residential, LLC",CAST 1.0,2019,Qtr 4,December,S&D
AIA1000,Customer - Strategic,Technology and Professional Services,0,AIA Corporation,CAST 1.0,2018,Qtr 4,October,S&D
AIM1000,Customer - Mid-Market,Real Estate,0,"AIMCO Properties, LP",CAST 2.0,2020,Qtr 3,September,S&D
AIR1009,Customer - Mid-Market,Manufacturing,0,"Airstream, Inc.",CAST 2.0,2018,Qtr 2,May,MFG
AIR1010,Customer - Strategic,"Non-Profits, Membership, and Human Services",0,Aircraft Owners and Pilots Association,CAST 1.0,2018,Qtr 2,April,S&D
AIR1011,Customer - Enterprise,Business Services,0,"AirCo Aviation Services, LLC",Global,2021,Qtr 1,January,S&D
AIR1012,Customer - Strategic,Transportation and Warehousing,0,"Air Cargo Carriers, LLC",CAST 1.0,2021,Qtr 3,July,S&D
AJI1001,Customer - Enterprise,Retail,0,"Ajinomoto Foods North America, Inc.",Global,2020,Qtr 3,September,MFG
AKE1002,Customer - Strategic,Manufacturing,0,"Akebia Therapeutics, Inc.",CAST 1.0,2018,Qtr 4,November,MFG
AKE1003,Customer - Strategic,Real Estate,0,Akelius Real Estate Management LLC,CAST 2.0,2018,Qtr 4,December,S&D
AKG1000,Customer - Mid-Market,Manufacturing,0,"AKG North America, Inc.",CAST 1.0,2018,Qtr 1,January,MFG
ALA1012,Customer - Strategic,Sports and Entertainment,0,Alabama Space Science Exhibit Commission,CAST 1.0,2019,Qtr 1,January,RETAIL
ALA1013,Customer - Strategic,Technology and Professional Services,0,"Alation, Inc.",CAST 1.0,2020,Qtr 1,January,S&D
ALA1014,Customer - Mid-Market,Public Sector,0,Alabama State Port Authority,CAST 2.0,2021,Qtr 2,May,PUBLIC SECTOR
ALA5000,Customer - Enterprise,Utilities and Mining,0,Alamos Gold Inc.,CAST Canada,2019,Qtr 4,November,MFG - ENERGY
ALB5000,Customer - Enterprise,Sports and Entertainment,0,2161907 Alberta LTD.,CAST Canada,2020,Qtr 1,February,S&D
ALC1003,Customer - Strategic,Wholesale Trade,0,"Alcal Industries,Inc.",CAST 1.0,2018,Qtr 2,April,S&D
ALD1001,Customer - Enterprise,Retail,0,ALDI Inc.,Global,2019,Qtr 1,February,RETAIL
ALD1002,Customer - Strategic,Manufacturing,0,"Aldevron, LLC",CAST 2.0,2019,Qtr 4,December,MFG - LIFE SCI
ALE1004,Customer - Mid-Market,Finance and Insurance,0,The Aleut Corporation,CAST 1.0,2019,Qtr 2,April,S&D - FIN
ALE1005,Customer - Strategic,,0,"Aledade, Inc.",CAST 1.0,2021,Qtr 2,April,S&D
ALE5000,Customer - Strategic,Utilities and Mining,0,"Alexco Environmental Group, Inc.",CAST Canada,2019,Qtr 3,August,MFG - ENERGY
ALI1002,Customer - Strategic,Technology and Professional Services,0,"A-LIGN Compliance and Security, Inc.",CAST 1.0,2019,Qtr 1,January,S&D
ALI1003,Customer - Mid-Market,Healthcare,0,"Aligned Equity Partners, LLC (DBA - Turnkey Processing Solutions, LLC)",CAST 2.0,2019,Qtr 4,December,MFG
ALK1000,Customer - Strategic,Technology and Professional Services,0,Alkami Technology,CAST 2.0,2019,Qtr 1,January,S&D
ALL1030,Customer - Enterprise,Real Estate,0,"Alliance Residential Realty, LLC",CAST 2.0,2018,Qtr 1,January,S&D
ALL1031,Customer - Strategic,Retail,1,"Allpro Parking, LLC",CAST 2.0,2018,Qtr 1,January,S&D
ALL1033,Customer - Strategic,Finance and Insurance,0,Alliant,CAST 2.0,2018,Qtr 4,October,S&D - FIN
ALL1034,Customer - Strategic,Healthcare,0,Alliance Health,CAST 2.0,2019,Qtr 1,February,HEALTHCARE
ALL1036,Customer - Strategic,Technology and Professional Services,0,"Allsup, LLC",CAST 1.0,2021,Qtr 1,January,S&D
ALL5000,Customer - Mid-Market,Manufacturing,0,All Weather Windows Ltd.,CAST Canada,2020,Qtr 3,July,MFG
ALM1001,Customer - Strategic,Sports and Entertainment,0,"Gary W. Clem, Inc. d/b/a Almaco",CAST 1.0,2019,Qtr 1,February,PUBLIC SECTOR - K12
ALP1011,Customer - Enterprise,Technology and Professional Services,0,"Alphabet Acquisition (Google, Inc.)",UMS,2018,Qtr 1,January,S&D
ALP1012,Customer - Mid-Market,Healthcare,0,Alpha Supported Living Services,CAST 1.0,2018,Qtr 4,October,HEALTHCARE
ALT1005,Customer - Strategic,Finance and Insurance,0,Altra Federal Credit Union,CAST 2.0,2018,Qtr 3,July,S&D - FIN
ALT1007,Customer - Strategic,Technology and Professional Services,0,Altarum Institute,CAST 1.0,2019,Qtr 3,September,S&D
ALT1008,Customer - Strategic,Business Services,0,"Altair Global Services, LLC",CAST 2.0,2019,Qtr 3,September,S&D
ALT1009,Customer - Strategic,Technology and Professional Services,0,Altium LLC,CAST 2.0,2020,Qtr 3,July,RETAIL
ALT5001,Customer - Strategic,Utilities and Mining,0,TriSummit Utilities Inc,CAST Canada,2020,Qtr 1,January,MFG - ENERGY
ALT5002,Customer - Strategic,Sports and Entertainment,0,Altea Active Club Inc.,CAST Canada,2021,Qtr 2,June,RETAIL
ALU1000,Customer - Strategic,Manufacturing,1,"Aluminum Shapes, LLC",CAST 2.0,2019,Qtr 2,June,MFG
ALW1000,Customer - Enterprise,Healthcare,0,"Always Compassionate Home Care, Inc.",CAST 1.0,2019,Qtr 4,December,HEALTHCARE
AMC1004,Customer - Enterprise,Manufacturing,0,Amcor Corporate Shared Services,CAST 2.0,2018,Qtr 2,April,MFG
AME1090,Customer - Strategic,"Non-Profits, Membership, and Human Services",0,"The American Society of Anesthesiologists, Inc.",CAST 1.0,2018,Qtr 1,January,S&D
AME1093,Customer - Enterprise,Retail,0,"American Food & Vending Enterprises, Inc.",CAST 2.0,2018,Qtr 1,January,RETAIL
AME1094,Customer - Mid-Market,Real Estate,1,"American National Investments, Inc.",CAST 1.0,2018,Qtr 1,January,S&D
AME1095,Customer - Enterprise,"Non-Profits, Membership, and Human Services",0,American Chemical Society,CAST 2.0,2018,Qtr 3,July,S&D
AME1096,Customer - Strategic,"Non-Profits, Membership, and Human Services",0,"Amego, Inc.",CAST 1.0,2018,Qtr 3,July,PUBLIC SECTOR
AME1097,Customer - Strategic,Manufacturing,0,American Society for Microbiology,CAST 1.0,2018,Qtr 4,December,S&D
AME1098,Customer - Mid-Market,Media and Publishing Services,0,American Public Media Group,CAST 2.0,2019,Qtr 3,July,S&D
AME1099,Customer - Strategic,Manufacturing,0,"American Nutrition, Inc.",CAST 1.0,2019,Qtr 3,August,MFG
AME1101,Customer - Enterprise,Transportation and Warehousing,0,American Commercial Barge Line LLC,CAST 2.0,2019,Qtr 3,July,S&D
AME1103,Customer - Strategic,Finance and Insurance,0,American Bancor Ltd,CAST 1.0,2019,Qtr 4,October,S&D - FIN
AME1104,Customer - Mid-Market,Finance and Insurance,0,American National Bank of Texas (The),CAST 1.0,2019,Qtr 4,October,S&D
AME1105,Customer - Mid-Market,Business Services,0,"America's Auto Auction, Inc.",CAST 2.0,2019,Qtr 4,December,S&D
AME1106,Customer - Strategic,Agriculture and Natural Resources,0,American Quarter Horse Association,CAST 1.0,2019,Qtr 4,October,MFG
AME1109,Customer - Strategic,Manufacturing,0,Amerequip Corporation,CAST 1.0,2020,Qtr 3,September,MFG
AME1110,Customer - Strategic,Finance and Insurance,0,American Bank & Trust,CAST 1.0,2020,Qtr 3,September,S&D - FIN
AME1111,Customer - Strategic,Manufacturing,0,"American Beerworks, LLC (dba: New Realm Brewing Company)",CAST 1.0,2020,Qtr 3,September,RETAIL
AME1112,Customer - Mid-Market,Healthcare,0,American Well Corporation,CAST 2.0,2021,Qtr 2,May,S&D
AME1113,Customer - Strategic,"Non-Profits, Membership, and Human Services",0,"American Welding Society, Inc.",CAST 1.0,2021,Qtr 2,May,S&D
AMI1003,Customer - Mid-Market,"Non-Profits, Membership, and Human Services",0,"AMIkids,INC.",CAST 2.0,2021,Qtr 1,January,MFG - LIFE SCI
AMO1001,Customer - Strategic,Technology and Professional Services,0,"Amount, Inc.",CAST 1.0,2020,Qtr 1,January,S&D
AMO1002,Customer - Strategic,Finance and Insurance,0,AMOCO Federal Credit Union,CAST 1.0,2020,Qtr 2,June,S&D - FIN
AMP1002,Customer - Strategic,Technology and Professional Services,0,"Ampirical Solutions, LLC",CAST 1.0,2020,Qtr 1,January,S&D
AMS1005,Customer - Strategic,Healthcare,0,AMS Retail (aka American Merchandising Specialist Inc.),CAST 1.0,2018,Qtr 4,October,S&D
ANA1003,Customer - Mid-Market,Manufacturing,0,Analogic Corporation,CAST 2.0,2020,Qtr 3,September,MFG
ANA1004,Customer - Strategic,Technology and Professional Services,0,"Analytic Partners, Inc.",CAST 2.0,2020,Qtr 3,July,S&D
ANA5000,Customer - Strategic,Healthcare,0,Humana Community Services,CAST Canada,2021,Qtr 1,March,HEALTHCARE
ANC1002,Customer - Mid-Market,Technology and Professional Services,0,"Anchin, Block & Anchin LLP",CAST 1.0,2018,Qtr 2,May,S&D
ANE1000,Customer - Strategic,Healthcare,0,"Anesthesia Practice Consultants, P.C.",CAST 1.0,2021,Qtr 1,January,HEALTHCARE
ANG1002,Customer - Mid-Market,Restaurants and Hospitality,0,Angel of the Winds Casino,CAST 2.0,2018,Qtr 3,July,RETAIL
ANS1003,Customer - Mid-Market,Technology and Professional Services,0,Ansafone Contact Centers LLC,CAST 1.0,2020,Qtr 1,January,S&D
ANT1004,Customer - Strategic,Retail,0,Anthony & Sylvan Pools Corporation,CAST 1.0,2019,Qtr 4,October,MFG
APE1005,Customer - Enterprise,Sports and Entertainment,1,"Apex Parks Group, LLC",CAST 2.0,2018,Qtr 2,April,RETAIL
APE1006,Customer - Enterprise,Utilities and Mining,0,"Apergy USA, Inc.",CAST 2.0,2019,Qtr 3,September,MFG
APG1000,Customer - Strategic,Technology and Professional Services,0,"APG Cash Drawer, LLC",CAST 1.0,2018,Qtr 1,January,S&D
APL1000,Customer - Mid-Market,"Non-Profits, Membership, and Human Services",0,"A Place for Rover, Inc.",CAST 1.0,2018,Qtr 1,January,PUBLIC SECTOR
APL1001,Customer - Strategic,Manufacturing,0,"Aplix, Inc.",CAST 1.0,2018,Qtr 2,June,MFG
APO1004,Customer - Strategic,Technology and Professional Services,0,"Apogee Engineering, LLC",CAST 1.0,2018,Qtr 4,October,S&D
APO1005,Customer - Enterprise,Healthcare,0,"ApolloMD Business Services, LLC",CAST 2.0,2020,Qtr 3,July,HEALTHCARE
APP1011,Customer - Mid-Market,Technology and Professional Services,0,Appian Corporation,CAST 2.0,2018,Qtr 1,January,S&D
APP1013,Customer - Strategic,Manufacturing,0,"Applied Research Solutions, Inc.",CAST 1.0,2019,Qtr 3,August,MFG - LIFE SCI
APP1014,Customer - Enterprise,Manufacturing,0,Applied Medical Resources Corporation,CAST 2.0,2020,Qtr 1,January,MFG - LIFE SCI
APP1016,Customer - Enterprise,Technology and Professional Services,0,AppGate,CAST 1.0,2020,Qtr 2,June,
APR1001,Customer - Enterprise,Technology and Professional Services,0,"Apricity Resources, LLC",Global,2020,Qtr 2,April,HEALTHCARE
APR1002,Customer - Strategic,Technology and Professional Services,0,Aprimo,CAST 1.0,2021,Qtr 1,March,S&D
AQU1000,Customer - Strategic,Manufacturing,0,"Aquestive Therapeutics, Inc.",CAST 1.0,2019,Qtr 4,December,MFG - LIFE SCI
ARB1003,Customer - Mid-Market,Restaurants and Hospitality,0,"Arbor Lodging Management, LLC",CAST 2.0,2019,Qtr 4,October,RETAIL
ARC1026,Customer - Enterprise,Manufacturing,0,"Arcosa, Inc.",UMS,2020,Qtr 2,June,MFG
ARC1027,Customer - Strategic,Technology and Professional Services,0,"Arctic Wolf Networks, Inc.",CAST 1.0,2020,Qtr 1,January,S&D
ARC1028,Customer - Mid-Market,Manufacturing,0,"Arc International North America, LLC",CAST 2.0,2021,Qtr 2,June,MFG
ARC5000,Customer - Strategic,Utilities and Mining,0,ARC Resources Ltd.,CAST Canada,2021,Qtr 1,January,MFG - ENERGY
ARD1000,Customer - Strategic,"Non-Profits, Membership, and Human Services",0,"Ardmore Enterprises, Inc.",CAST 1.0,2020,Qtr 3,September,PUBLIC SECTOR - HE
ARI1007,Customer - Strategic,Sports and Entertainment,0,Arizona Coyotes Hockey Club,CAST 1.0,2018,Qtr 1,January,RETAIL
ARI1008,Customer - Strategic,Technology and Professional Services,1,"Ari Technologies, L.L.C.",CAST 2.0,2019,Qtr 3,September,S&D
ARI1009,Customer - Strategic,Manufacturing,0,"Aries Industries, Inc.",CAST 1.0,2020,Qtr 4,November,S&D
ARK1004,Customer - Strategic,Healthcare,0,Arkansas Provider Coalition,CAST 1.0,2018,Qtr 4,December,RETAIL
ARK1005,Customer - Strategic,Finance and Insurance,1,Arkansas Federal Credit Union,CAST 1.0,2020,Qtr 4,October,S&D - FIN
ARL1000,Customer - Enterprise,Manufacturing,0,ARLANXEO USA LLC,CAST 2.0,2019,Qtr 1,January,MFG
ARM1007,Customer - Mid-Market,Transportation and Warehousing,0,"Armstrong Relocation & Companies, LLC",CAST 2.0,2020,Qtr 4,November,S&D
ARN1000,Customer - Enterprise,Technology and Professional Services,0,Arnold & Porter Kaye Scholer LLP,CAST 2.0,2018,Qtr 2,June,S&D
ARN1001,Customer - Strategic,Technology and Professional Services,0,Arnall Golden Gregory LLP,CAST 1.0,2019,Qtr 3,July,S&D
ARR1001,Customer - Strategic,Manufacturing,0,"Arrow Fastener Co., LLC",CAST 1.0,2018,Qtr 1,January,MFG
ARR1002,Customer - Strategic,Manufacturing,0,Array Biopharma Inc.,CAST 1.0,2018,Qtr 1,March,HEALTHCARE
ARR1003,Customer - Enterprise,Manufacturing,0,"Arrow Electronics, Inc.",Global,2018,Qtr 4,December,S&D
ART1007,Customer - Mid-Market,Manufacturing,0,"ABV Shared Services, LLC",CAST 2.0,2019,Qtr 2,April,MFG
ASH1004,Customer - Strategic,Wholesale Trade,0,Ashton-Potter (USA) LTD.,CAST 1.0,2020,Qtr 3,August,S&D - FIN
ASP1002,Customer - Strategic,Finance and Insurance,0,"ASPEQ Heating Group,LLC",CAST 1.0,2021,Qtr 1,January,S&D - FIN
ASS1016,Customer - Enterprise,Finance and Insurance,0,"AssuredPartners Capital, Inc.",Global,2018,Qtr 3,July,S&D - FIN
ASS1017,Customer - Mid-Market,Transportation and Warehousing,0,"Associated Terminals, LLC",CAST 2.0,2018,Qtr 1,January,S&D
ASS1018,Customer - Strategic,Finance and Insurance,0,"Assurance Financial Group, L.L.C.",CAST 1.0,2019,Qtr 3,August,S&D - FIN
ASS1019,Customer - Strategic,"Non-Profits, Membership, and Human Services",0,"Assets, Inc.",CAST 1.0,2021,Qtr 1,January,PUBLIC SECTOR - HE
ASS5000,Customer - Strategic,Finance and Insurance,0,Assiniboine Credit Union Limited,CAST Canada,2020,Qtr 1,February,S&D - FIN
ASS5001,Customer - Mid-Market,"Non-Profits, Membership, and Human Services",0,Association Des Employeurs Maritimes,CAST Canada,2021,Qtr 3,July,S&D
AST5000,Customer - Mid-Market,Sports and Entertainment,0,A.S.T.C. Science World Society,CAST Canada,2018,Qtr 1,January,RETAIL
ATC1003,Customer - Strategic,Retail,0,"A.T. Cross Company, LLC",CAST 1.0,2019,Qtr 3,September,MFG
